<MULTILINE_COMMENT: // , TOKEN: 2>
 test file for assignment 3<SINGLELINE_COMMENT: int , TOKEN: 1>
<MULTILINE_COMMENT: main , TOKEN: 2>
<CHAR_CONSTANT: ( , TOKEN: 7>
<CHAR_CONSTANT: ) , TOKEN: 7>
<CHAR_CONSTANT: { , TOKEN: 7>
<SINGLELINE_COMMENT: int , TOKEN: 1>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<KEYWORD: 10 , TOKEN: 3>
<CHAR_CONSTANT: ; , TOKEN: 7>
<SINGLELINE_COMMENT: int , TOKEN: 1>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<KEYWORD: 20 , TOKEN: 3>
<CHAR_CONSTANT: ; , TOKEN: 7>
<SINGLELINE_COMMENT: int , TOKEN: 1>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: + , TOKEN: 7>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: - , TOKEN: 7>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: * , TOKEN: 7>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: / , TOKEN: 7>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: % , TOKEN: 7>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: ++ , TOKEN: 7>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: -- , TOKEN: 7>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: & , TOKEN: 7>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: | , TOKEN: 7>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: ^ , TOKEN: 7>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: << , TOKEN: 7>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<MULTILINE_COMMENT: c , TOKEN: 2>
<CHAR_CONSTANT: = , TOKEN: 7>
<MULTILINE_COMMENT: a , TOKEN: 2>
<CHAR_CONSTANT: >> , TOKEN: 7>
<MULTILINE_COMMENT: b , TOKEN: 2>
<CHAR_CONSTANT: ; , TOKEN: 7>
<SINGLELINE_COMMENT: return , TOKEN: 1>
<KEYWORD: 0 , TOKEN: 3>
<CHAR_CONSTANT: ; , TOKEN: 7>
<CHAR_CONSTANT: } , TOKEN: 7>
